municipio_id,municipio_nombre,establecimiento_id,establecimiento_nombre,region_educativa,clave,cueanexo,modalidad,nivel,direccion,telefono,rpv,email,sector,dependencia,tipo_organizacion,area,ambito,desfavorabilidad,subvencion,sede_axo_ext,categoria,depend_func,cui,periodo,matricula,varones,mujeres,secciones,turnos,cue,anexo,nro_escuela,latitud,longitud
6441,La Plata,23935,COLEGIO SANTA MARTA,Región 1,4001MS7652,62177300,Educación Común,Nivel Secundario,118 ESQ. 40 - 414,221-425-1788,,secundariosantamarta@yahoo.com.ar,Privado,Privada,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Subvención Total 100%,SEDE,Tercera,Dirección de Educación de Gestión Privada,600104233,Final 2025,179,86,93,6,MAÑANA,621773,0,7652,-34.89792998,-57.94934096
6049,Azul,869,"JARDÍN DE INFANTES Nº916 ""DR. JUAN ITURRALDE""",Región 25,0007JI0916,60550800,Educación Común,Nivel Inicial,LIBERTAD E/ SALTA Y AMADO DIAB - 227,2281-42-9116,26432,jardin916azul@abc.gob.ar,Estatal,Oficial,JARDÍN DE INFANTES,INTERIOR,Urbano,0,Oficial,SEDE,Segunda,Dirección Provincial de Educación Inicial,600700384,Final 2025,80,36,44,5,"MAÑANA,TARDE",605508,0,916,-36.78265732,-59.84373466
6126,Campana,19252,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº26 ""GRANADEROS DE SAN MARTÍN""",Región 11,0015MS0026,61734300,Educación Común,Nivel Secundario,25 DE MAYO E/ LAS HERAS Y BALCARCE - 1290,3489-55-5163,,secundaria26campana@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,INTERIOR,Urbano,0,Oficial,SEDE,Segunda,Dirección Provincial de Educación Secundaria,601500676,Final 2025,267,138,129,12,MAÑANA,617343,0,26,-34.16176935,-58.96992729
6595,Olavarría,22982,JARDÍN DE INFANTES RURAL Nº12,Región 25,0077JS0012,62064700,Educación Común,Nivel Inicial,FUNCIONA EN PP Nº12 - S/N,2284-15-57-1727,,cintiamaria@abc.gob.ar,Estatal,Oficial,JARDÍN DE INFANTES RURAL E ISLAS DE MATRÍCULA MÍNIMA,INTERIOR,Rural Disperso,5,Oficial,SEDE,Tercera,Dirección Provincial de Educación Inicial,607700767,Final 2025,3,1,2,1,TARDE,620647,0,12,-36.93492056,-60.72005954
6392,General Villegas,3938,"ESCUELA DE EDUCACIÓN TEMPRANA Nº 1 ""MARIO PANTALEO""",Región 16,0049ET0001,61507600,Educación Especial,Nivel Inicial,HUMBERTO COMPAGNUCCI - 886,3388-42-0984,,ceatgralvillegas@gmail.com,Estatal,Oficial,CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS,INTERIOR,Urbano,0,Oficial,SEDE,Segunda,Dirección de Educación Especial,604900072,Final 2025,82,40,42,0,"MAÑANA,TARDE",615076,0,1,-35.03290975,-63.02933434
6224,Chivilcoy,11098,COLEGIO SANTA CECILIA,Región 15,4028PP1752,61203600,Educación Común,Nivel Primario,HUMBERTO PRIMO/PUEYRREDON Y PELLEGRINI - 26/30,2346-42-1079,,chivilcoycolegiosantacecilia@gmail.com,Privado,Privada,ESCUELA DE EDUCACIÓN PRIMARIA,INTERIOR,Urbano,0,Subvención Total 100%,SEDE,Primera,Dirección de Educación de Gestión Privada,602800998,Final 2025,326,166,160,12,TARDE,612036,0,1752,-34.88916903,-60.01253345
6658,Quilmes,7160,"JARDÍN DE INFANTES Nº916 ""PROVINCIA DE CORRIENTES""",Región 4,0085JI0916,60732500,Educación Común,Nivel Inicial,CORRIENTES  - 1350,11-4257-6220,70706,jardin916quilmes@abc.gob.ar,Estatal,Oficial,JARDÍN DE INFANTES,CONURBANO,Urbano,0,Oficial,SEDE,Primera,Dirección Provincial de Educación Inicial,608500768,Final 2025,186,90,96,8,"MAÑANA,TARDE",607325,0,916,-34.73197767,-58.27300716
6252,Escobar,24856,ESCUELA ARCANGEL GABRIEL,Región 11,4116PP8414,62266600,Educación Común,Nivel Primario,LA CAÑADA - 1530,11-15-3886-6573,,info@arcangelgabrielesc.edu.ar,Privado,Privada,ESCUELA DE EDUCACIÓN PRIMARIA,INTERIOR,Urbano,0,Sin Subvención,SEDE,S/Datos,Dirección de Educación de Gestión Privada,611601325,Final 2025,154,82,72,6,MAÑANA,622666,0,8414,-34.3481516,-58.76396102
6218,Chascomús,2254,"ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ""VEINTICINCO DE MAYO""",Región 17,0027PP0021,60603100,Educación Común,Nivel Primario,MANUEL BELGRANO - S/N,2241-53-3799,,ep21chascomus@gmail.com,Estatal,Oficial,ESCUELA DE EDUCACIÓN PRIMARIA,INTERIOR,Rural Disperso,1,Oficial,SEDE,Tercera,Dirección Provincial de Educación Primaria,602700454,Final 2025,26,16,10,3,"""DOBLE ESCOLARIDAD""",606031,0,21,-35.44579996,-58.09463017
6539,Merlo,5982,"ESCUELA DE EDUCACIÓN PRIMARIA Nº66 ""PABLO PIZZURNO""",Región 8,0071PP0066,60869000,Educación Común,Nivel Primario,BACH E /FREIRE Y NERVO - S/N,220-499-5222,,primaria66merlo@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN PRIMARIA,CONURBANO,Urbano,1,Oficial,SEDE,Primera,Dirección Provincial de Educación Primaria,607100183,Final 2025,679,350,329,24,"MAÑANA,TARDE",608690,0,66,-34.70018724,-58.76548969
6091,Berazategui,19572,ESCUELA DE EDUCACIÓN SECUNDARIA Nº43,Región 4,0119MS0043,61766200,Educación Común,Nivel Secundario,18 - S/N,11-4216-8714,,secundaria43berazategui@abc.gob.ar,Estatal,Oficial,ESCUELA DE EDUCACIÓN SECUNDARIA,CONURBANO,Urbano,0,Oficial,SEDE,Segunda,Dirección Provincial de Educación Secundaria,611901107,Final 2025,258,147,111,12,"MAÑANA,TARDE",617662,0,43,-34.7793899,-58.23215928
